"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"SVVL","VLV","Dr. Antonio Nicolas Briceno Airport","Valera","Trujillo","VE","2060","9.34048","-70.58406","America/Caracas",""
"SVVP","VDP","Valle de La Pascua Airport","","Guarico","VE","410","9.22203","-65.99358","America/Caracas",""
"SWBC","BAZ","Barcelos Airport","Barcelos","Amazonas","BR","112","-0.98129","-62.9196","America/Boa_Vista",""
"SWBR","RBB","Borba Airport","Borba","Amazonas","BR","293","-4.40634","-59.6024","America/Boa_Vista",""
"SWCA","CAF","Carauari Airport","Carauari","Amazonas","BR","355","-4.87152","-66.8975","America/Boa_Vista",""
"SWCQ","CQS","Costa Marques Airport","Costa Marques","Rondônia","BR","555","-12.4211","-64.2516","America/Porto_Velho",""
"SWDM","DMT","Diamantino Airport","Diamantino","Mato Grosso do Sul","BR","1476","-14.3769","-56.4004","America/Campo_Grande",""
"SWDN","DNO","Dianopolis Airport","Dianopolis","Tocantins","BR","2001","-11.5954","-46.8467","America/Araguaina",""
"SWEC","ARS","Estancia das Cascatas Airport","Aragarcas","Goiás","BR","1017","-15.8967","-52.0956","America/Cuiaba",""
"SWEI","ERN","Eirunepe Airport","Eirunepe","Amazonas","BR","412","-6.63953","-69.8798","America/Boa_Vista",""
"SWEK","CQA","Canarana Airport","Canarana","Mato Grosso do Sul","BR","1314","-13.57444","-52.27056","America/Cuiaba",""
"SWFX","SXO","Sao Felix do Araguaia Airport","Sao Felix Do Araguaia","Mato Grosso do Sul","BR","650","-11.6324","-50.6896","America/Campo_Grande",""
"SWGI","GRP","Gurupi Airport","Gurupi","Tocantins","BR","1148","-11.7396","-49.1322","America/Fortaleza",""
"SWGN","AUX","Araguaina Airport","Araguaina","Tocantins","BR","771","-7.22787","-48.2405","America/Fortaleza",""
"SWHP","GGB","Fazenda Olhos D`agua Airport","Agua Boa","Mato Grosso do Sul","BR","1407","-14.01944","-52.15222","America/Cuiaba",""
"SWHT","HUW","Humaita Airport","Humaita","Amazonas","BR","230","-7.53212","-63.0721","America/Manaus",""
"SWII","IPG","Ipiranga Airport","Santo Antonio Do Ica","Amazonas","BR","131","-2.93907","-69.694","America/Manaus",""
"SWIY","IDO","Santa Izabel do Morro Airport","Cristalandia","Tocantins","BR","647","-11.5723","-50.6662","America/Araguaina",""
"SWJI","JPR","Ji-Parana Airport","Ji-Parana","Rondônia","BR","598","-10.8708","-61.8465","America/Boa_Vista",""
"SWJN","JIA","Juina Airport","Juina","Mato Grosso do Sul","BR","1083","-11.41944","-58.70167","America/Cuiaba",""
"SWJU","JRN","Juruena Airport","Juruena","Mato Grosso do Sul","BR","525","-10.30583","-58.48944","America/Cuiaba",""
"SWJW","JTI","Jatai Airport","Jatai","Goiás","BR","2529","-17.8299","-51.773","America/Sao_Paulo",""
"SWKC","CCX","Caceres Airport","Caceres","Mato Grosso do Sul","BR","492","-16.0436","-57.6299","America/Cuiaba",""
"SWKO","CIZ","Coari Airport","Coari","Amazonas","BR","131","-4.13406","-63.1326","America/Boa_Vista",""
"SWKQ","NSR","Serra da Capivara Airport","Sao Raimundo Nonato","Piauí","BR","1362","-9.08278","-42.64444","America/Fortaleza",""
"SWKT","TLZ","Catalao Airport","Catalao","Goiás","BR","2612","-18.2168","-47.8997","America/Sao_Paulo",""
"SWLB","LBR","Labrea Airport","Labrea","Amazonas","BR","190","-7.27897","-64.7695","America/Boa_Vista",""
"SWLC","RVD","General Leite de Castro Airport","Rio Verde","Goiás","BR","2464","-17.83472","-50.95611","America/Sao_Paulo",""
"SWMW","MBZ","Maues Airport","Maues","Amazonas","BR","69","-3.37217","-57.7248","America/Boa_Vista",""
"SWNA","NVP","Novo Aripuana Airport","Novo Aripuana","Amazonas","BR","118","-5.11803","-60.3649","America/Boa_Vista",""
"SWNI","AQM","Nova Vida Airport","Ariquemes","Rondônia","BR","410","-10.17806","-62.82556","America/Porto_Velho",""
"SWNK","BCR","Novo Campo Airport","Boca Do Acre","Amazonas","BR","394","-8.83456","-67.3124","America/Manaus",""
"SWNQ","NQL","Niquelandia Airport","Niquelandia","Goiás","BR","2756","-14.4349","-48.4915","America/Sao_Paulo",""
"SWNS","APS","Anapolis Airport","Anapolis","Goiás","BR","3648","-16.3623","-48.9271","America/Sao_Paulo",""
"SWOB","FBA","Fonte Boa Airport","Fonte Boa","Amazonas","BR","207","-2.53261","-66.0832","America/Boa_Vista",""
"SWPG","PBV","Porto dos Gauchos Airport","Porto Dos Gauchos","Mato Grosso do Sul","BR","1312","-11.51694","-57.33389","America/Cuiaba",""
